version,trip_id,actual_events,predicted_events,tp_events,fp_events,fn_events,tp_events_tol1,fp_events_tol1,fn_events_tol1,alert_rows,actual_change_rows
v1_main,1821101775133165,6,3,1,2,5,1,2,5,6,6
v1_main,1582201776728707,6,3,1,2,5,1,2,5,4,6
v1_main,1821211775164687,6,2,1,1,5,1,1,5,2,6
v1_main,1804591775055111,4,11,0,11,4,2,9,2,15,4
v1_main,1867151775274275,4,10,0,10,4,1,9,3,16,4
v1_main,1264001776343000,6,12,2,10,4,2,10,4,12,6
v1_main,1236121775830984,4,9,0,9,4,1,8,3,13,4
v1_main,1867171775176184,5,10,1,9,4,1,9,4,13,5
v1_main,1808801775053266,5,8,1,7,4,1,7,4,17,5
v1_main,1848421775142501,6,9,2,7,4,2,7,4,16,6
v1_main,1592541775399840,4,7,0,7,4,0,7,4,14,4
v1_main,1791321775188320,5,8,1,7,4,1,7,4,11,5
v1_main,1820981775155332,4,6,0,6,4,1,5,3,9,4
v1_main,1849501775222144,4,6,0,6,4,0,6,4,9,4
v1_main,716681776618383,4,6,0,6,4,0,6,4,6,4
v1_main,1648861776897837,4,6,0,6,4,0,6,4,7,4
v1_main,1888031775154007,4,5,0,5,4,0,5,4,7,4
v1_main,1066141775039867,4,5,0,5,4,3,2,1,7,4
v1_main,1790511776952209,4,5,0,5,4,0,5,4,6,4
v1_main,1808471775015102,5,6,1,5,4,1,5,4,11,5
v1_main,1214191776808863,4,5,0,5,4,1,4,3,5,4
v1_main,1866861775076981,4,4,0,4,4,0,4,4,6,4
v1_main,1792391775109198,4,4,0,4,4,0,4,4,8,4
v1_main,716511776879567,6,6,2,4,4,2,4,4,6,6
v1_main,1866661775168152,5,5,1,4,4,1,4,4,8,5
v1_main,1847001775092025,4,4,0,4,4,0,4,4,6,4
v1_main,1829661776460120,4,4,0,4,4,0,4,4,7,4
v1_main,1752451775143264,4,4,0,4,4,1,3,3,4,4
v1_main,1661531776393114,5,5,1,4,4,1,4,4,7,5
v1_main,716491776325176,4,4,0,4,4,0,4,4,4,4
v1_main,1820971775064128,4,3,0,3,4,0,3,4,6,4
v1_main,1848401775127722,4,3,0,3,4,0,3,4,6,4
v1_main,966681775068431,4,3,0,3,4,0,3,4,4,4
v1_main,1264281775006966,6,5,2,3,4,2,3,4,9,6
v1_main,1052571775111218,4,3,0,3,4,1,2,3,4,4
v1_main,1245811775015664,4,3,0,3,4,0,3,4,4,4
v1_main,1719051776917842,4,3,0,3,4,0,3,4,3,4
v1_main,1592761776616929,4,3,0,3,4,0,3,4,3,4
v1_main,715731776550555,4,3,0,3,4,0,3,4,3,4
v1_main,1866861775119791,4,2,0,2,4,0,2,4,2,4
v1_main,1790511776560356,4,2,0,2,4,0,2,4,2,4
v1_main,1852761776663773,4,2,0,2,4,0,2,4,2,4
v1_main,1866471776303123,4,2,0,2,4,0,2,4,2,4
v1_main,1821221776505192,4,2,0,2,4,0,2,4,2,4
v1_main,1582231776464240,4,2,0,2,4,0,2,4,2,4
v1_main,1648911775267563,4,1,0,1,4,0,1,4,1,4
v1_main,1866411775610332,4,1,0,1,4,0,1,4,1,4
v1_main,1804591775154678,4,1,0,1,4,0,1,4,1,4
v1_main,1866611775027769,4,1,0,1,4,1,0,3,1,4
v1_main,716821775035356,5,2,1,1,4,1,1,4,4,5
v1_main,1829681775109517,4,1,0,1,4,0,1,4,2,4
v1_main,1808751776780443,5,2,1,1,4,1,1,4,2,5
v1_main,1509271776298576,4,1,0,1,4,0,1,4,1,4
v1_main,716741775357021,5,2,1,1,4,1,1,4,2,5
v1_main,1821061776287322,4,1,0,1,4,0,1,4,1,4
v1_main,1866791776958655,4,1,0,1,4,0,1,4,1,4
v1_main,1661491776324361,4,0,0,0,4,0,0,4,0,4
v1_main,1820971775110886,4,0,0,0,4,0,0,4,0,4
v1_main,1582231775543731,4,0,0,0,4,0,0,4,0,4
v1_main,1790541776373031,4,0,0,0,4,0,0,4,0,4
v1_main,1867511775162824,5,1,1,0,4,1,0,4,1,5
v1_main,1236121775084375,4,0,0,0,4,0,0,4,0,4
v1_main,1791871775033743,4,0,0,0,4,0,0,4,0,4
v1_main,1214211775145907,4,0,0,0,4,0,0,4,0,4
v1_main,1808931776355927,4,0,0,0,4,0,0,4,0,4
v1_main,1867151775185070,5,17,2,15,3,3,14,2,29,5
v1_main,1790471775119776,4,12,1,11,3,1,11,3,18,4
v1_main,1245811775086706,4,8,1,7,3,1,7,3,16,4
v1_main,1486491775314441,4,7,1,6,3,1,6,3,9,4
v1_main,1867421775047983,4,7,1,6,3,1,6,3,9,4
v1_main,716681776542382,4,7,1,6,3,1,6,3,10,4
v1_main,1791841776526877,4,6,1,5,3,1,5,3,7,4
